"Step","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss__MIN","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss__MAX","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss__MIN","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss__MAX","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss__MIN","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss__MAX","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss__MIN","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss__MAX","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss__MIN","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss__MAX","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss__MIN","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss__MAX","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss__MIN","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss__MAX","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss__MIN","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss__MAX","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss__MIN","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss__MAX","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss__MIN","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss__MAX","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss__MIN","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss__MAX"
"43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.930391311645508","7.930391311645508","7.930391311645508"
"44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.879220962524414","7.879220962524414","7.879220962524414"
"45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.832437992095947","7.832437992095947","7.832437992095947"
"46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.844748497009277","7.844748497009277","7.844748497009277"
"47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.782988548278809","7.782988548278809","7.782988548278809"
"48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.726738929748535","7.726738929748535","7.726738929748535"
"49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.691924571990967","7.691924571990967","7.691924571990967"
"50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.651890754699707","7.651890754699707","7.651890754699707"
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.615591049194336","7.615591049194336","7.615591049194336"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.59893798828125","7.59893798828125","7.59893798828125"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.542305946350098","7.542305946350098","7.542305946350098"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5212578773498535","7.5212578773498535","7.5212578773498535"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.56097412109375","7.56097412109375","7.56097412109375"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.489044189453125","7.489044189453125","7.489044189453125"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.410601615905762","7.410601615905762","7.410601615905762"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.409787178039551","7.409787178039551","7.409787178039551"
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4091596603393555","7.4091596603393555","7.4091596603393555"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.346660614013672","7.346660614013672","7.346660614013672"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.370311260223389","7.370311260223389","7.370311260223389"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.309959411621094","7.309959411621094","7.309959411621094"
